74.99,74.57,74.95,75.31,75.70,74.60,74.73,74.77,74.77,76.32
76.86,77.08,78.52,77.55,77.77,77.58,77.60,77.89,77.89,77.60
79.95,79.50,80.04,79.70,79.72,79.24,80.24,79.89,79.86,78.98
81.25,82.11,81.27,82.17,80.94,81.00,81.31,81.52,81.48,81.90
82.44,82.36,84.12,83.57,82.66,82.85,83.98,84.00,82.56,82.62
84.73,84.94,84.52,84.91,85.12,84.84,84.73,85.12,84.93,84.47
86.53,85.60,86.48,86.20,85.79,86.86,86.00,86.12,86.41,86.42
88.00,87.38,87.49,87.71,87.84,87.64,87.10,87.69,87.92,87.70
89.56,89.27,89.06,88.94,89.29,89.45,88.66,89.02,89.03,89.16
90.30,90.04,89.34,90.69,90.10,90.27,90.00,90.37,90.48,90.10
91.46,91.98,91.64,91.21,91.78,90.95,91.36,91.54,91.24,91.22
92.17,92.30,92.65,92.51,92.30,92.28,92.36,92.17,92.40,92.41
93.53,93.44,93.21,93.11,93.47,93.60,93.24,93.02,92.79,93.46
94.07,94.01,93.94,94.09,94.45,94.18,93.95,94.14,93.84,94.15
95.28,94.60,94.81,95.05,94.95,95.16,94.28,95.29,94.46,94.80
95.30,95.31,95.78,95.72,95.27,95.95,95.76,95.76,95.57,95.52
95.95,95.98,96.05,95.84,96.34,96.02,95.89,96.13,95.90,95.77
96.40,96.40,96.54,96.58,96.66,96.80,96.40,96.69,96.39,96.71
96.94,97.19,97.05,97.05,97.18,97.03,96.99,97.05,97.14,96.61
97.50,97.67,97.43,97.57,97.26,97.08,97.30,97.12,97.39,97.56
97.74,97.87,98.00,97.88,97.72,97.85,97.82,97.65,97.77,97.84
98.07,98.12,97.97,97.92,97.99,98.26,98.27,98.09,97.94,97.95
98.46,98.21,98.34,98.48,98.52,98.29,98.37,98.18,98.48,98.48
98.77,98.46,98.63,98.83,98.49,98.50,98.53,98.55,98.84,98.66
98.79,98.96,98.93,98.75,98.90,98.90,98.70,98.92,99.08,98.98
99.22,99.04,99.00,98.89,99.04,99.04,99.12,99.02,99.08,98.96
99.21,99.17,99.15,99.14,99.19,99.24,99.25,99.09,98.98,99.01
99.31,99.27,99.40,99.29,99.21,99.37,99.39,99.33,99.29,99.39
99.39,99.37,99.33,99.38,99.44,99.33,99.39,99.42,99.42,99.40
99.49,99.51,99.52,99.60,99.52,99.60,99.60,99.46,99.51,99.45
99.71,99.49,99.60,99.68,99.66,99.55,99.64,99.58,99.58,99.64
99.70,99.62,99.72,99.58,99.63,99.59,99.63,99.60,99.67,99.64
99.71,99.71,99.59,99.77,99.63,99.63,99.78,99.72,99.78,99.85
99.78,99.79,99.74,99.78,99.79,99.89,99.74,99.77,99.76,99.78
99.89,99.82,99.78,99.85,99.74,99.78,99.84,99.79,99.92,99.86
99.81,99.87,99.72,99.87,99.87,99.90,99.84,99.85,99.91,99.81
99.85,99.89,99.85,99.88,99.97,99.92,99.89,99.87,99.92,99.93
99.92,99.88,99.87,99.88,99.90,99.89,99.87,99.90,99.87,99.91
99.94,99.94,99.90,99.90,99.91,99.98,99.96,99.87,99.93,99.87
99.96,99.96,99.89,99.90,99.97,99.91,99.90,99.94,100.00,99.95
99.96,99.97,99.96,99.95,99.91,99.96,99.91,99.95,99.93,99.95
99.92,99.98,99.98,99.96,99.98,100.00,99.92,99.96,99.96,99.91
99.98,99.96,99.97,99.96,99.96,99.98,99.97,99.95,99.94,99.98
99.97,99.99,99.94,99.97,99.93,99.99,99.96,99.96,99.96,99.96
